iter	Passed	Remaining
345	3828	7237
346	3838	7224
347	3849	7212
348	3860	7200
349	3870	7187
350	3878	7172
351	3887	7157
352	3898	7144
353	3908	7132
354	3919	7121
355	3928	7107
356	3940	7097
357	3951	7086
358	3962	7074
359	3971	7060
360	3980	7045
361	3990	7032
362	3999	7018
363	4011	7008
364	4021	6996
365	4030	6982
366	4041	6970
367	4051	6958
368	4060	6943
369	4070	6930
370	4079	6916
371	4090	6905
372	4101	6893
373	4112	6882
374	4121	6868
375	4132	6857
376	4143	6847
377	4154	6836
378	4165	6825
379	4175	6812
380	4188	6804
381	4198	6792
382	4209	6781
383	4219	6769
384	4230	6757
385	4241	6746
386	4252	6735
387	4262	6723
388	4272	6710
389	4283	6699
390	4295	6690
391	4306	6679
392	4317	6668
393	4327	6656
394	4338	6645
395	4350	6635
396	4362	6625
397	4371	6612
398	4382	6601
399	4394	6591
400	4405	6580
401	4415	6568
402	4425	6555
403	4436	6544
404	4447	6533
405	4458	6522
406	4467	6509
407	4477	6497
408	4489	6487
409	4499	6475
410	4510	6464
411	4520	6451
412	4531	6440
413	4542	6429
414	4555	6421
415	4566	6411
416	4578	6400
417	4590	6391
418	4602	6381
419	4613	6371
420	4624	6360
421	4637	6351
422	4648	6341
423	4661	6332
424	4671	6320
425	4682	6308
426	4694	6300
427	4706	6290
428	4716	6278
429	4728	6268
430	4741	6259
431	4753	6249
432	4764	6238
433	4775	6228
434	4788	6219
435	4800	6209
436	4811	6198
437	4821	6187
438	4833	6177
439	4845	6166
440	4856	6156
441	4867	6144
442	4878	6134
443	4890	6124
444	4902	6113
445	4913	6102
446	4928	6096
447	4938	6085
448	4949	6074
449	4960	6062
450	4971	6051
451	4983	6041
452	4994	6031
453	5005	6019
454	5014	6006
455	5025	5995
456	5036	5984
457	5048	5974
458	5057	5961
459	5068	5949
460	5079	5938
461	5090	5927
462	5101	5917
463	5110	5903
464	5121	5891
465	5132	5881
466	5143	5869
467	5152	5857
468	5162	5844
469	5173	5833
470	5183	5821
471	5194	5810
472	5203	5797
473	5212	5784
474	5223	5773
475	5234	5762
476	5245	5751
477	5255	5738
478	5264	5725
479	5274	5714
480	5285	5703
481	5296	5691
482	5305	5678
483	5315	5666
484	5326	5655
485	5337	5644
486	5346	5632
487	5355	5619
488	5366	5607
489	5377	5596
490	5388	5585
491	5398	5574
492	5407	5561
493	5418	5550
494	5428	5538
495	5439	5526
496	5448	5514
497	5457	5501
498	5468	5490
499	5479	5479
500	5489	5467
501	5500	5456
502	5511	5445
503	5522	5435
504	5534	5424
505	5545	5414
506	5555	5402
507	5566	5391
508	5577	5380
509	5589	5370
510	5599	5358
511	5609	5346
512	5621	5336
513	5632	5325
514	5642	5313
515	5651	5301
516	5662	5290
517	5674	5279
518	5685	5268
519	5695	5257
520	5705	5245
521	5715	5233
522	5726	5222
523	5736	5211
524	5745	5198
525	5755	5186
526	5766	5175
527	5777	5164
528	5788	5153
529	5797	5140
530	5806	5128
531	5817	5117
532	5828	5106
533	5839	5095
534	5849	5084
535	5859	5072
536	5870	5061
537	5881	5050
538	5890	5038
539	5900	5026
540	5910	5014
541	5922	5004
542	5933	4993
543	5944	4982
544	5954	4971
545	5966	4961
546	5978	4950
547	5989	4940
548	5999	4928
549	6011	4918
550	6023	4908
551	6034	4897
552	6045	4886
553	6056	4875
554	6068	4865
555	6080	4855
556	6091	4845
557	6102	4834
558	6115	4824
559	6126	4814
560	6139	4804
561	6150	4793
562	6162	4783
563	6174	4773
564	6186	4763
565	6197	4752
566	6208	4741
567	6221	4731
568	6234	4722
569	6244	4711
570	6256	4700
571	6268	4690
572	6279	4679
573	6289	4668
574	6300	4656
575	6311	4646
576	6323	4635
577	6334	4624
578	6344	4613
579	6356	4602
580	6366	4591
581	6378	4580
582	6388	4569
583	6398	4557
584	6410	4547
585	6421	4536
586	6432	4525
587	6441	4513
588	6452	4502
589	6466	4493
590	6478	4483
591	6489	4472
592	6499	4461
593	6511	4450
594	6522	4439
595	6532	4428
596	6541	4415
597	6552	4404
598	6564	4394
599	6574	4383
600	6584	4371
601	6594	4359
602	6604	4348
603	6614	4336
604	6625	4325
605	6634	4313
606	6644	4301
607	6655	4291
608	6666	4280
609	6677	4269
610	6686	4256
611	6696	4245
612	6707	4234
613	6718	4223
614	6728	4212
615	6739	4201
616	6751	4190
617	6764	4181
618	6777	4171
619	6788	4160
620	6800	4150
621	6814	4141
622	6827	4131
623	6839	4120
624	6850	4110
625	6862	4100
626	6875	4089
627	6885	4078
628	6896	4067
629	6909	4057
630	6921	4047
631	6931	4036
632	6943	4025
633	6955	4015
634	6966	4004
635	6978	3993
636	6988	3982
637	6998	3971
638	7010	3960
639	7021	3949
640	7030	3937
641	7040	3926
642	7052	3915
643	7063	3904
644	7074	3893
645	7084	3882
646	7095	3871
647	7106	3860
648	7117	3849
649	7127	3837
650	7137	3826
651	7148	3815
652	7159	3804
653	7169	3793
654	7179	3781
655	7190	3770
656	7201	3759
657	7212	3748
658	7222	3737
659	7232	3725
660	7242	3714
661	7254	3704
662	7265	3692
663	7274	3681
664	7284	3669
665	7296	3659
666	7308	3648
667	7319	3637
668	7329	3626
669	7340	3615
670	7352	3605
671	7363	3594
672	7374	3583
673	7384	3571
674	7396	3561
675	7408	3550
676	7420	3540
677	7430	3529
678	7442	3518
679	7454	3507
680	7466	3497
681	7477	3486
682	7489	3475
683	7501	3465
684	7513	3455
685	7524	3444
686	7535	3433
687	7548	3423
688	7559	3412
689	7570	3401
690	7581	3390
691	7594	3380
692	7606	3369
693	7617	3358
694	7628	3347
695	7640	3337
696	7652	3326
697	7664	3315
698	7673	3304
699	7684	3293
700	7696	3282
701	7707	3272
702	7718	3260
703	7728	3249
704	7740	3238
705	7751	3227
706	7762	3216
707	7771	3205
708	7782	3194
709	7793	3183
710	7805	3172
711	7817	3161
712	7828	3151
713	7841	3140
714	7852	3130
715	7862	3118
716	7871	3106
717	7881	3095
718	7892	3084
719	7903	3073
720	7913	3062
721	7922	3050
722	7933	3039
723	7944	3028
724	7954	3017
725	7964	3005
726	7974	2994
727	7985	2983
728	7995	2972
729	8006	2961
730	8016	2949
731	8027	2939
732	8039	2928
733	8050	2917
734	8061	2906
735	8071	2895
736	8082	2884
737	8093	2873
738	8104	2862
739	8114	2850
740	8124	2839
741	8136	2829
742	8147	2818
743	8157	2807
744	8167	2795
745	8178	2784
746	8189	2773
747	8200	2762
748	8209	2751
749	8219	2739
750	8230	2728
751	8240	2717
752	8251	2706
753	8261	2695
754	8271	2684
755	8283	2673
756	8296	2663
757	8308	2652
758	8319	2641
759	8330	2630
760	8341	2619
761	8352	2608
762	8361	2597
763	8372	2586
764	8384	2575
765	8395	2564
766	8404	2553
767	8414	2541
768	8425	2530
769	8435	2519
770	8445	2508
771	8456	2497
772	8466	2486
773	8477	2475
774	8487	2464
775	8497	2452
776	8506	2441
777	8517	2430
778	8528	2419
779	8538	2408
780	8548	2397
781	8557	2385
782	8567	2374
783	8579	2363
784	8590	2352
785	8601	2342
786	8612	2331
787	8623	2320
788	8636	2309
789	8647	2298
790	8658	2287
791	8668	2276
792	8680	2265
793	8691	2255
794	8702	2244
795	8713	2233
796	8725	2222
797	8737	2211
798	8750	2201
799	8761	2190
800	8772	2179
801	8784	2168
802	8796	2158
803	8807	2147
804	8819	2136
805	8830	2125
806	8842	2114
807	8853	2103
808	8864	2092
809	8876	2082
810	8888	2071
811	8900	2060
812	8912	2050
813	8926	2039
814	8937	2028
815	8949	2018
816	8960	2006
817	8973	1996
818	8984	1985
819	8996	1974
820	9006	1963
821	9018	1952
822	9030	1942
823	9041	1931
824	9049	1919
825	9060	1908
826	9072	1897
827	9083	1886
828	9094	1875
829	9104	1864
830	9114	1853
831	9125	1842
832	9136	1831
833	9147	1820
834	9157	1809
835	9168	1798
836	9179	1787
837	9190	1776
838	9201	1765
839	9212	1754
840	9224	1743
841	9234	1732
842	9245	1721
843	9254	1710
844	9265	1699
845	9276	1688
846	9287	1677
847	9296	1666
848	9306	1655
849	9317	1644
850	9327	1633
851	9338	1622
852	9347	1610
853	9357	1599
854	9366	1588
855	9377	1577
856	9387	1566
857	9396	1555
858	9406	1544
859	9417	1533
860	9427	1522
861	9438	1511
862	9448	1499
863	9458	1488
864	9468	1477
865	9479	1466
866	9490	1455
867	9502	1445
868	9513	1434
869	9525	1423
870	9536	1412
871	9545	1401
872	9556	1390
873	9567	1379
874	9578	1368
875	9588	1357
876	9598	1346
877	9609	1335
878	9619	1324
879	9631	1313
880	9641	1302
881	9652	1291
882	9664	1280
883	9674	1269
884	9684	1258
885	9694	1247
886	9705	1236
887	9716	1225
888	9727	1214
889	9737	1203
890	9747	1192
891	9757	1181
892	9769	1170
893	9781	1159
894	9791	1148
895	9801	1137
896	9812	1126
897	9823	1115
898	9833	1104
899	9843	1093
900	9853	1082
901	9864	1071
902	9873	1060
903	9883	1049
904	9892	1038
905	9903	1027
906	9914	1016
907	9925	1005
908	9935	994
909	9944	983
910	9955	972
911	9966	961
912	9978	950
913	9989	939
914	9999	928
915	10011	918
916	10021	907
917	10032	896
918	10042	885
919	10056	874
920	10067	863
921	10079	852
922	10090	841
923	10103	830
924	10115	820
925	10127	809
926	10138	798
927	10149	787
928	10162	776
929	10174	765
930	10184	754
931	10195	743
932	10208	733
933	10220	722
934	10231	711
935	10242	700
936	10255	689
937	10267	678
938	10279	667
939	10290	656
940	10302	645
941	10313	635
942	10325	624
943	10336	613
944	10347	602
945	10358	591
946	10370	580
947	10381	569
948	10392	558
949	10405	547
950	10417	536
951	10429	525
952	10439	514
953	10451	503
954	10461	492
955	10472	481
956	10482	471
957	10493	460
958	10504	449
959	10517	438
960	10528	427
961	10539	416
962	10550	405
963	10561	394
964	10571	383
965	10581	372
966	10592	361
967	10603	350
968	10614	339
969	10624	328
970	10634	317
971	10646	306
972	10657	295
973	10668	284
974	10677	273
975	10688	262
976	10699	251
977	10710	240
978	10721	229
979	10730	218
980	10740	208
981	10750	197
982	10760	186
983	10770	175
984	10780	164
985	10790	153
986	10800	142
987	10810	131
988	10820	120
989	10829	109
990	10840	98
991	10850	87
992	10860	76
993	10869	65
994	10879	54
995	10889	43
996	10900	32
997	10910	21
998	10920	10
999	10930	0
