iter	Logloss
0	0.6499218515
1	0.6056523596
2	0.5712148287
3	0.5427166553
4	0.5147195584
5	0.4903930763
6	0.4773251317
7	0.4575459147
8	0.4406759521
9	0.4229724495
10	0.4125664102
11	0.404656598
12	0.3902264565
13	0.3826047932
14	0.373436366
15	0.3669752303
16	0.3607306097
17	0.3550187777
18	0.346907392
19	0.3420428056
20	0.3388237822
21	0.3351897204
22	0.3293660199
23	0.3245568873
24	0.3213528022
25	0.3186139486
26	0.3142813836
27	0.3119560427
28	0.3099272623
29	0.3063172386
30	0.3043660037
31	0.3020715954
32	0.3003884109
33	0.298370312
34	0.2965359322
35	0.2949041103
36	0.2934141993
37	0.2922488876
38	0.2904211782
39	0.2895068739
40	0.2878247121
41	0.2867385844
42	0.2860257321
43	0.2840606182
44	0.2830882205
45	0.2822471431
46	0.2817362441
47	0.2811171474
48	0.2803908821
49	0.279378655
50	0.2787827681
51	0.2780899421
52	0.277280005
53	0.2766526974
54	0.2759544792
55	0.2755096368
56	0.2749822819
57	0.2744574022
58	0.2740206853
59	0.2735298565
60	0.2729342166
61	0.2726296483
62	0.2724251705
63	0.271948266
64	0.2717890896
65	0.2714922521
66	0.2710439859
67	0.2705166292
68	0.270004757
69	0.2697050223
70	0.2692700693
71	0.2691463623
72	0.2690747006
73	0.2687903361
74	0.2686645947
75	0.2680938771
76	0.2677320538
77	0.2676224704
78	0.2675525093
79	0.2673644509
80	0.2672759433
81	0.2671258449
82	0.2667578398
83	0.2666777088
84	0.2664009918
85	0.2662506382
86	0.2660153295
87	0.2657662824
88	0.2656722722
89	0.265563372
90	0.2654571747
91	0.2652506668
92	0.2651679378
93	0.2648853171
94	0.2648125867
95	0.2645814547
96	0.2644083441
97	0.2643365391
98	0.2642482222
99	0.2641287452
100	0.2638745929
101	0.2637436461
102	0.2635025056
103	0.2634481163
104	0.2632148088
105	0.2630844316
106	0.2629957494
107	0.2629007714
108	0.2627649494
109	0.2627055091
110	0.2625774996
111	0.2625081133
112	0.2623028007
113	0.2619713743
114	0.2618382063
115	0.26171102
116	0.2616306161
117	0.2615512911
118	0.2612417867
119	0.2610654247
120	0.260994708
121	0.2609220439
122	0.2608201463
123	0.2606623782
124	0.260573279
125	0.2604536682
126	0.2603353028
127	0.2602289647
128	0.2601824865
129	0.2601090443
130	0.2599839314
131	0.2597878993
132	0.2597055484
133	0.2596131823
134	0.2595703429
135	0.2595589982
136	0.2594687201
137	0.259341838
138	0.2591567111
139	0.2590734191
140	0.2589995912
141	0.2589233332
142	0.258869203
143	0.2588191832
144	0.2587527427
145	0.2585802894
146	0.2585290645
147	0.2584728666
148	0.2583967395
149	0.2583308964
150	0.2582765443
151	0.2582290869
152	0.2581863249
153	0.2581172385
154	0.2580328551
155	0.2579946344
156	0.2578646621
157	0.2577683477
158	0.2577101433
159	0.257513782
160	0.2574583728
161	0.257356263
162	0.2572309666
163	0.257121116
164	0.2571210304
165	0.2570495764
166	0.2569919366
167	0.2569596573
168	0.2568703173
169	0.2568075448
170	0.2566514541
171	0.2565038689
172	0.2564510056
173	0.2563972785
174	0.2563913842
175	0.2563434374
176	0.2562868857
177	0.2562221703
178	0.2561675655
179	0.2561061033
180	0.2560579298
181	0.256018833
182	0.2559742785
183	0.2559314747
184	0.2558682614
185	0.2558156904
186	0.255767688
187	0.2557064943
188	0.2556566133
189	0.2555772789
190	0.2555006788
191	0.2554085162
192	0.2553736652
193	0.2553465249
